Year,Jurisdiction,Category,Management,Fate,Tonnes,Core or non-core,Jurisdiction_State
2018-2019,SA,Ash,Other disposal,Long-term storage,0,Non-core waste,South Australia
2018-2019,SA,Ash,Recycling,Recycling,0,Non-core waste,South Australia
2018-2019,SA,Biosolids,Other disposal,Disposal,2296.666667,Core waste,South Australia
2018-2019,SA,Biosolids,Recycling,Recycling,227370,Core waste,South Australia
2018-2019,SA,Building and demolition materials,Landfill,Disposal,122176,Core waste,South Australia
2018-2019,SA,Building and demolition materials,Recycling,Recycling,1400097,Core waste,South Australia
2018-2019,SA,Glass,Landfill,Disposal,14881,Core waste,South Australia
2018-2019,SA,Glass,Recycling,Recycling,73966,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Energy from waste facility,Energy recovery,12786.88525,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Landfill,Disposal,113584.5247,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Other disposal,Disposal,4306.226629,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Recycling,Recycling,198202.2529,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Treatment,Disposal,30229.11943,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Treatment,Energy recovery,5108.553268,Core waste,South Australia
2018-2019,SA,Hazardous wastes,Treatment,Recycling,85183.00429,Core waste,South Australia
2018-2019,SA,Metals,Landfill,Disposal,23677,Core waste,South Australia
2018-2019,SA,Metals,Recycling,Recycling,329127,Core waste,South Australia
2018-2019,SA,Organics,Energy from waste facility,Energy recovery,87813,Core waste,South Australia
2018-2019,SA,Organics,Landfill,Disposal,238663,Core waste,South Australia
2018-2019,SA,Organics,Landfill,Energy recovery,76891,Core waste,South Australia
2018-2019,SA,Organics,Recycling,Recycling,927572,Core waste,South Australia
2018-2019,SA,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,South Australia
2018-2019,SA,Paper & cardboard,Landfill,Disposal,57697,Core waste,South Australia
2018-2019,SA,Paper & cardboard,Landfill,Energy recovery,13445,Core waste,South Australia
2018-2019,SA,Paper & cardboard,Recycling,Recycling,228765,Core waste,South Australia
2018-2019,SA,Plastics,Energy from waste facility,Energy recovery,5938,Core waste,South Australia
2018-2019,SA,Plastics,Landfill,Disposal,46684,Core waste,South Australia
2018-2019,SA,Plastics,Landfill,Energy recovery,0,Core waste,South Australia
2018-2019,SA,Plastics,Recycling,Recycling,18252,Core waste,South Australia
2018-2019,SA,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,South Australia
2018-2019,SA,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,18959,Core waste,South Australia
2018-2019,SA,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,4529,Core waste,South Australia
2018-2019,SA,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,21165,Core waste,South Australia
2018-2019,SA,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,South Australia
2018-2019,SA,Unclassified materials,Landfill,Disposal,10812,Core waste,South Australia
2018-2019,SA,Unclassified materials,Landfill,Energy recovery,0,Core waste,South Australia
2018-2019,SA,Unclassified materials,Recycling,Recycling,18613,Core waste,South Australia
2018-2019,Tas,Biosolids,Other disposal,Disposal,0,Core waste,Tasmania
2018-2019,Tas,Biosolids,Recycling,Recycling,34980,Core waste,Tasmania
2018-2019,Tas,Building and demolition materials,Landfill,Disposal,64358,Core waste,Tasmania
2018-2019,Tas,Building and demolition materials,Recycling,Recycling,1351,Core waste,Tasmania
2018-2019,Tas,Glass,Landfill,Disposal,12354,Core waste,Tasmania
2018-2019,Tas,Glass,Recycling,Recycling,13272,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Energy from waste facility,Energy recovery,3633.027523,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Landfill,Disposal,94050.56011,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Other disposal,Disposal,267.2662463,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Recycling,Recycling,204752.1027,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Treatment,Disposal,15067.70887,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Treatment,Energy recovery,26.07849555,Core waste,Tasmania
2018-2019,Tas,Hazardous wastes,Treatment,Recycling,125278.1533,Core waste,Tasmania
2018-2019,Tas,Metals,Landfill,Disposal,13744,Core waste,Tasmania
2018-2019,Tas,Metals,Recycling,Recycling,6572,Core waste,Tasmania
2018-2019,Tas,Organics,Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2018-2019,Tas,Organics,Landfill,Disposal,141054,Core waste,Tasmania
2018-2019,Tas,Organics,Landfill,Energy recovery,32548,Core waste,Tasmania
2018-2019,Tas,Organics,Recycling,Recycling,16792,Core waste,Tasmania
2018-2019,Tas,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2018-2019,Tas,Paper & cardboard,Landfill,Disposal,46304,Core waste,Tasmania
2018-2019,Tas,Paper & cardboard,Landfill,Energy recovery,8099,Core waste,Tasmania
2018-2019,Tas,Paper & cardboard,Recycling,Recycling,43097,Core waste,Tasmania
2018-2019,Tas,Plastics,Landfill,Disposal,65073,Core waste,Tasmania
2018-2019,Tas,Plastics,Recycling,Recycling,4192,Core waste,Tasmania
2018-2019,Tas,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2018-2019,Tas,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,17097,Core waste,Tasmania
2018-2019,Tas,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,3062,Core waste,Tasmania
2018-2019,Tas,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,241,Core waste,Tasmania
2018-2019,Tas,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,Tasmania
2018-2019,Tas,Unclassified materials,Landfill,Energy recovery,0,Core waste,Tasmania
2018-2019,Vic,Ash,Other disposal,Long-term storage,857179.5165,Non-core waste,Victoria
2018-2019,Vic,Ash,Recycling,Recycling,0,Non-core waste,Victoria
2018-2019,Vic,Biosolids,Other disposal,Disposal,25616.66667,Core waste,Victoria
2018-2019,Vic,Biosolids,Recycling,Recycling,486716.6667,Core waste,Victoria
2018-2019,Vic,Building and demolition materials,Landfill,Disposal,1147248,Core waste,Victoria
2018-2019,Vic,Building and demolition materials,Recycling,Recycling,6315368,Core waste,Victoria
2018-2019,Vic,Glass,Landfill,Disposal,96960,Core waste,Victoria
2018-2019,Vic,Glass,Recycling,Recycling,194652,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Energy from waste facility,Energy recovery,48527.93594,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Landfill,Disposal,755498.947,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Other disposal,Disposal,7556.476386,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Recycling,Recycling,361362.0206,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Treatment,Disposal,80541.62472,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Treatment,Energy recovery,11691.48508,Core waste,Victoria
2018-2019,Vic,Hazardous wastes,Treatment,Recycling,164481.0735,Core waste,Victoria
2018-2019,Vic,Metals,Landfill,Disposal,154483,Core waste,Victoria
2018-2019,Vic,Metals,Recycling,Recycling,1474439,Core waste,Victoria
2018-2019,Vic,Organics,Anaerobic digestion,Recycling,31379,Core waste,Victoria
2018-2019,Vic,Organics,Energy from waste facility,Energy recovery,56379,Core waste,Victoria
2018-2019,Vic,Organics,Landfill,Disposal,1450418,Core waste,Victoria
2018-2019,Vic,Organics,Landfill,Energy recovery,389449,Core waste,Victoria
2018-2019,Vic,Organics,Recycling,Recycling,1275067,Core waste,Victoria
2018-2019,Vic,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Victoria
2018-2019,Vic,Paper & cardboard,Landfill,Disposal,499669,Core waste,Victoria
2018-2019,Vic,Paper & cardboard,Landfill,Energy recovery,106935,Core waste,Victoria
2018-2019,Vic,Paper & cardboard,Recycling,Recycling,1249328,Core waste,Victoria
2018-2019,Vic,Plastics,Landfill,Disposal,529495,Core waste,Victoria
2018-2019,Vic,Plastics,Recycling,Recycling,142517,Core waste,Victoria
2018-2019,Vic,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,5000,Core waste,Victoria
2018-2019,Vic,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,172480,Core waste,Victoria
2018-2019,Vic,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,37831,Core waste,Victoria
2018-2019,Vic,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,24991,Core waste,Victoria
2018-2019,Vic,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,Victoria
2018-2019,Vic,Unclassified materials,Landfill,Disposal,0,Core waste,Victoria
2018-2019,Vic,Unclassified materials,Landfill,Energy recovery,0,Core waste,Victoria
2018-2019,WA,Ash,Other disposal,Long-term storage,291250.4008,Non-core waste,Western Australia
2018-2019,WA,Ash,Recycling,Recycling,820895.046,Non-core waste,Western Australia
2018-2019,WA,Biosolids,Other disposal,Disposal,40844.79779,Core waste,Western Australia
2018-2019,WA,Biosolids,Recycling,Recycling,115430.9503,Core waste,Western Australia
2018-2019,WA,Building and demolition materials,Landfill,Disposal,425701,Core waste,Western Australia
2018-2019,WA,Building and demolition materials,Recycling,Recycling,1380132,Core waste,Western Australia
2018-2019,WA,Glass,Landfill,Disposal,66472,Core waste,Western Australia
2018-2019,WA,Glass,Recycling,Recycling,55847,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Energy from waste facility,Energy recovery,20803.28947,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Landfill,Disposal,227981.2043,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Other disposal,Disposal,3451.253749,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Recycling,Recycling,365287.5353,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Treatment,Disposal,70259.27628,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Treatment,Energy recovery,11375.24156,Core waste,Western Australia
2018-2019,WA,Hazardous wastes,Treatment,Recycling,61167.25464,Core waste,Western Australia
2018-2019,WA,Metals,Landfill,Disposal,68160,Core waste,Western Australia
2018-2019,WA,Metals,Recycling,Recycling,657150,Core waste,Western Australia
2018-2019,WA,Organics,Energy from waste facility,Energy recovery,0,Core waste,Western Australia
2018-2019,WA,Organics,Landfill,Disposal,777094,Core waste,Western Australia
2018-2019,WA,Organics,Landfill,Energy recovery,99261,Core waste,Western Australia
2018-2019,WA,Organics,Recycling,Recycling,347617,Core waste,Western Australia
2018-2019,WA,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Western Australia
2018-2019,WA,Paper & cardboard,Landfill,Disposal,231337,Core waste,Western Australia
2018-2019,WA,Paper & cardboard,Landfill,Energy recovery,21097,Core waste,Western Australia
2018-2019,WA,Paper & cardboard,Recycling,Recycling,256362,Core waste,Western Australia
2018-2019,WA,Plastics,Landfill,Disposal,293825,Core waste,Western Australia
2018-2019,WA,Plastics,Recycling,Recycling,19957,Core waste,Western Australia
2018-2019,WA,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Western Australia
2018-2019,WA,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,73027,Core waste,Western Australia
2018-2019,WA,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,6586,Core waste,Western Australia
2018-2019,WA,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,3004,Core waste,Western Australia
2018-2019,WA,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,Western Australia
2018-2019,WA,Unclassified materials,Landfill,Energy recovery,0,Core waste,Western Australia
2017-2018,ACT,Biosolids,Other disposal,Disposal,58202.43237,Core waste,Australian Capital Territory
2017-2018,ACT,Biosolids,Recycling,Recycling,0,Core waste,Australian Capital Territory
2017-2018,ACT,Building and demolition materials,Landfill,Disposal,19801,Core waste,Australian Capital Territory
2017-2018,ACT,Building and demolition materials,Recycling,Recycling,101302,Core waste,Australian Capital Territory
2017-2018,ACT,Building and demolition materials,Waste reuse,Waste reuse,61038,Core waste,Australian Capital Territory
2017-2018,ACT,Glass,Landfill,Disposal,6774,Core waste,Australian Capital Territory
2017-2018,ACT,Glass,Recycling,Recycling,12501,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Energy from waste facility,Energy recovery,3717.439386,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Landfill,Disposal,97034.83056,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Other disposal,Disposal,229.7772264,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Recycling,Recycling,6575.454434,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Treatment,Disposal,550.006086,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Treatment,Energy recovery,100.5378181,Core waste,Australian Capital Territory
2017-2018,ACT,Hazardous wastes,Treatment,Recycling,797.0156998,Core waste,Australian Capital Territory
2017-2018,ACT,Metals,Landfill,Disposal,6158,Core waste,Australian Capital Territory
2017-2018,ACT,Metals,Recycling,Recycling,27357,Core waste,Australian Capital Territory
2017-2018,ACT,Organics,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2017-2018,ACT,Organics,Landfill,Disposal,70366,Core waste,Australian Capital Territory
2017-2018,ACT,Organics,Landfill,Energy recovery,31648,Core waste,Australian Capital Territory
2017-2018,ACT,Organics,Recycling,Recycling,284296,Core waste,Australian Capital Territory
2017-2018,ACT,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2017-2018,ACT,Paper & cardboard,Landfill,Disposal,26434,Core waste,Australian Capital Territory
2017-2018,ACT,Paper & cardboard,Landfill,Energy recovery,9598,Core waste,Australian Capital Territory
2017-2018,ACT,Paper & cardboard,Recycling,Recycling,29988,Core waste,Australian Capital Territory
2017-2018,ACT,Plastics,Landfill,Disposal,22784,Core waste,Australian Capital Territory
2017-2018,ACT,Plastics,Recycling,Recycling,3512,Core waste,Australian Capital Territory
2017-2018,ACT,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2017-2018,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,10120,Core waste,Australian Capital Territory
2017-2018,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,3777,Core waste,Australian Capital Territory
2017-2018,ACT,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,0,Core waste,Australian Capital Territory
2017-2018,ACT,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2017-2018,ACT,Unclassified materials,Landfill,Disposal,12179,Core waste,Australian Capital Territory
2017-2018,ACT,Unclassified materials,Landfill,Energy recovery,0,Core waste,Australian Capital Territory
2017-2018,ACT,Unclassified materials,Recycling,Recycling,143354,Core waste,Australian Capital Territory
2017-2018,NSW,Ash,Other disposal,Long-term storage,1172451.97,Non-core waste,New South Wales
2017-2018,NSW,Ash,Recycling,Recycling,4599587.008,Non-core waste,New South Wales
2017-2018,NSW,Biosolids,Other disposal,Disposal,18069.99794,Core waste,New South Wales
2017-2018,NSW,Biosolids,Recycling,Recycling,333072.4553,Core waste,New South Wales
2017-2018,NSW,Building and demolition materials,Landfill,Disposal,860579,Core waste,New South Wales
2017-2018,NSW,Building and demolition materials,Recycling,Recycling,7582655,Core waste,New South Wales
2017-2018,NSW,Glass,Landfill,Disposal,132750,Core waste,New South Wales
2017-2018,NSW,Glass,Recycling,Recycling,230902,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Energy from waste facility,Energy recovery,48360.18519,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Landfill,Disposal,1915591.009,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Other disposal,Disposal,6144.957472,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Recycling,Recycling,179789.0011,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Treatment,Disposal,172359.2243,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Treatment,Energy recovery,22715.58525,Core waste,New South Wales
2017-2018,NSW,Hazardous wastes,Treatment,Recycling,251821.4324,Core waste,New South Wales
2017-2018,NSW,Metals,Landfill,Disposal,131294,Core waste,New South Wales
2017-2018,NSW,Metals,Recycling,Recycling,1541538,Core waste,New South Wales
2017-2018,NSW,Organics,Anaerobic digestion,Recycling,43968,Core waste,New South Wales
2017-2018,NSW,Organics,Energy from waste facility,Energy recovery,43968,Core waste,New South Wales
2017-2018,NSW,Organics,Landfill,Disposal,1411627,Core waste,New South Wales
2017-2018,NSW,Organics,Landfill,Energy recovery,361025,Core waste,New South Wales
2017-2018,NSW,Organics,Recycling,Recycling,1574691,Core waste,New South Wales
2017-2018,NSW,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,New South Wales
2017-2018,NSW,Paper & cardboard,Landfill,Disposal,663987,Core waste,New South Wales
2017-2018,NSW,Paper & cardboard,Landfill,Energy recovery,134437,Core waste,New South Wales
2017-2018,NSW,Paper & cardboard,Recycling,Recycling,983124,Core waste,New South Wales
2017-2018,NSW,Plastics,Landfill,Disposal,562498,Core waste,New South Wales
2017-2018,NSW,Plastics,Recycling,Recycling,84541,Core waste,New South Wales
2017-2018,NSW,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,New South Wales
2017-2018,NSW,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,158301,Core waste,New South Wales
2017-2018,NSW,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,32850,Core waste,New South Wales
2017-2018,NSW,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,1545,Core waste,New South Wales
2017-2018,NSW,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,New South Wales
2017-2018,NSW,Unclassified materials,Landfill,Disposal,186636,Core waste,New South Wales
2017-2018,NSW,Unclassified materials,Landfill,Energy recovery,0,Core waste,New South Wales
2017-2018,NSW,Unclassified materials,Recycling,Recycling,8659,Core waste,New South Wales
2017-2018,NT,Biosolids,Other disposal,Disposal,4728.791579,Core waste,Northern Territory
2017-2018,NT,Biosolids,Recycling,Recycling,16654.28676,Core waste,Northern Territory
2017-2018,NT,Building and demolition materials,Landfill,Disposal,129940,Core waste,Northern Territory
2017-2018,NT,Building and demolition materials,Recycling,Recycling,1065,Core waste,Northern Territory
2017-2018,NT,Glass,Landfill,Disposal,8042,Core waste,Northern Territory
2017-2018,NT,Glass,Recycling,Recycling,6717,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Energy from waste facility,Energy recovery,958.6016006,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Landfill,Disposal,15542.19496,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Other disposal,Disposal,139.7969099,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Recycling,Recycling,8545.715245,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Treatment,Disposal,540.4301611,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Treatment,Energy recovery,354.1937461,Core waste,Northern Territory
2017-2018,NT,Hazardous wastes,Treatment,Recycling,2154.445097,Core waste,Northern Territory
2017-2018,NT,Metals,Landfill,Disposal,8263,Core waste,Northern Territory
2017-2018,NT,Metals,Recycling,Recycling,682,Core waste,Northern Territory
2017-2018,NT,Organics,Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2017-2018,NT,Organics,Landfill,Disposal,95695,Core waste,Northern Territory
2017-2018,NT,Organics,Landfill,Energy recovery,10632,Core waste,Northern Territory
2017-2018,NT,Organics,Recycling,Recycling,18141,Core waste,Northern Territory
2017-2018,NT,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2017-2018,NT,Paper & cardboard,Landfill,Disposal,26640,Core waste,Northern Territory
2017-2018,NT,Paper & cardboard,Landfill,Energy recovery,2287,Core waste,Northern Territory
2017-2018,NT,Paper & cardboard,Recycling,Recycling,62,Core waste,Northern Territory
2017-2018,NT,Plastics,Landfill,Disposal,31345,Core waste,Northern Territory
2017-2018,NT,Plastics,Recycling,Recycling,626,Core waste,Northern Territory
2017-2018,NT,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2017-2018,NT,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,6244,Core waste,Northern Territory
2017-2018,NT,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,548,Core waste,Northern Territory
2017-2018,NT,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,1693,Core waste,Northern Territory
2017-2018,NT,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,Northern Territory
2017-2018,NT,Unclassified materials,Landfill,Energy recovery,0,Core waste,Northern Territory
2017-2018,Qld,Ash,Other disposal,Long-term storage,3764101.082,Non-core waste,Queensland
2017-2018,Qld,Ash,Recycling,Recycling,833519.6132,Non-core waste,Queensland
2017-2018,Qld,Biosolids,Other disposal,Disposal,0,Core waste,Queensland
2017-2018,Qld,Biosolids,Recycling,Recycling,327163.5714,Core waste,Queensland
2017-2018,Qld,Building and demolition materials,Landfill,Disposal,1982183,Core waste,Queensland
2017-2018,Qld,Building and demolition materials,Recycling,Recycling,1919445,Core waste,Queensland
2017-2018,Qld,Glass,Landfill,Disposal,124306,Core waste,Queensland
2017-2018,Qld,Glass,Recycling,Recycling,104017,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Energy from waste facility,Energy recovery,24645.76128,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Landfill,Disposal,1314727.113,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Other disposal,Disposal,10734.58823,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Recycling,Recycling,586233.4492,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Treatment,Disposal,42176.77922,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Treatment,Energy recovery,11194.57415,Core waste,Queensland
2017-2018,Qld,Hazardous wastes,Treatment,Recycling,68736.15288,Core waste,Queensland
2017-2018,Qld,Metals,Landfill,Disposal,139418,Core waste,Queensland
2017-2018,Qld,Metals,Recycling,Recycling,966871,Core waste,Queensland
2017-2018,Qld,Organics,Energy from waste facility,Energy recovery,40536,Core waste,Queensland
2017-2018,Qld,Organics,Landfill,Disposal,1493153,Core waste,Queensland
2017-2018,Qld,Organics,Landfill,Energy recovery,267186,Core waste,Queensland
2017-2018,Qld,Organics,Recycling,Recycling,950663,Core waste,Queensland
2017-2018,Qld,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Queensland
2017-2018,Qld,Paper & cardboard,Landfill,Disposal,459176,Core waste,Queensland
2017-2018,Qld,Paper & cardboard,Landfill,Energy recovery,66345,Core waste,Queensland
2017-2018,Qld,Paper & cardboard,Recycling,Recycling,631582,Core waste,Queensland
2017-2018,Qld,Plastics,Landfill,Disposal,590737,Core waste,Queensland
2017-2018,Qld,Plastics,Recycling,Recycling,49519,Core waste,Queensland
2017-2018,Qld,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Queensland
2017-2018,Qld,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,138533,Core waste,Queensland
2017-2018,Qld,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,19719,Core waste,Queensland
2017-2018,Qld,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,Queensland
2017-2018,Qld,Unclassified materials,Landfill,Disposal,0,Core waste,Queensland
2017-2018,Qld,Unclassified materials,Landfill,Energy recovery,0,Core waste,Queensland
2017-2018,Qld,Unclassified materials,Recycling,Recycling,15123,Core waste,Queensland
2017-2018,SA,Ash,Other disposal,Long-term storage,0,Non-core waste,South Australia
2017-2018,SA,Ash,Recycling,Recycling,0,Non-core waste,South Australia
2017-2018,SA,Biosolids,Other disposal,Disposal,1148.333333,Core waste,South Australia
2017-2018,SA,Biosolids,Recycling,Recycling,175970.7143,Core waste,South Australia
2017-2018,SA,Building and demolition materials,Landfill,Disposal,111362,Core waste,South Australia
2017-2018,SA,Building and demolition materials,Recycling,Recycling,1360369,Core waste,South Australia
2017-2018,SA,Glass,Landfill,Disposal,15771,Core waste,South Australia
2017-2018,SA,Glass,Recycling,Recycling,59806,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Energy from waste facility,Energy recovery,12650.25176,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Landfill,Disposal,103202.1055,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Other disposal,Disposal,4405.304299,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Recycling,Recycling,301055.7047,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Treatment,Disposal,45805.47719,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Treatment,Energy recovery,6264.816452,Core waste,South Australia
2017-2018,SA,Hazardous wastes,Treatment,Recycling,109148.4661,Core waste,South Australia
2017-2018,SA,Metals,Landfill,Disposal,24916,Core waste,South Australia
2017-2018,SA,Metals,Recycling,Recycling,332223,Core waste,South Australia
2017-2018,SA,Organics,Energy from waste facility,Energy recovery,79515,Core waste,South Australia
2017-2018,SA,Organics,Landfill,Disposal,270621,Core waste,South Australia
2017-2018,SA,Organics,Landfill,Energy recovery,84251,Core waste,South Australia
2017-2018,SA,Organics,Recycling,Recycling,993315,Core waste,South Australia
2017-2018,SA,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,South Australia
2017-2018,SA,Paper & cardboard,Landfill,Disposal,67075,Core waste,South Australia
2017-2018,SA,Paper & cardboard,Landfill,Energy recovery,14646,Core waste,South Australia
2017-2018,SA,Paper & cardboard,Recycling,Recycling,236103,Core waste,South Australia
2017-2018,SA,Plastics,Energy from waste facility,Energy recovery,4185,Core waste,South Australia
2017-2018,SA,Plastics,Landfill,Disposal,53342,Core waste,South Australia
2017-2018,SA,Plastics,Landfill,Energy recovery,0,Core waste,South Australia
2017-2018,SA,Plastics,Recycling,Recycling,25514,Core waste,South Australia
2017-2018,SA,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,South Australia
2017-2018,SA,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,21174,Core waste,South Australia
2017-2018,SA,"Textiles, leather & rubber (excl. tyres)",Landfill,Energy recovery,4739,Core waste,South Australia
2017-2018,SA,"Textiles, leather & rubber (excl. tyres)",Recycling,Recycling,25512,Core waste,South Australia
2017-2018,SA,Unclassified materials,Energy from waste facility,Energy recovery,0,Core waste,South Australia
2017-2018,SA,Unclassified materials,Landfill,Disposal,11585,Core waste,South Australia
2017-2018,SA,Unclassified materials,Landfill,Energy recovery,0,Core waste,South Australia
2017-2018,SA,Unclassified materials,Recycling,Recycling,4490,Core waste,South Australia
2017-2018,Tas,Biosolids,Other disposal,Disposal,0,Core waste,Tasmania
2017-2018,Tas,Biosolids,Recycling,Recycling,33061.42857,Core waste,Tasmania
2017-2018,Tas,Building and demolition materials,Landfill,Disposal,63848,Core waste,Tasmania
2017-2018,Tas,Building and demolition materials,Recycling,Recycling,1813,Core waste,Tasmania
2017-2018,Tas,Glass,Landfill,Disposal,14038,Core waste,Tasmania
2017-2018,Tas,Glass,Recycling,Recycling,16661,Core waste,Tasmania
2017-2018,Tas,Hazardous wastes,Energy from waste facility,Energy recovery,3096.116187,Core waste,Tasmania
2017-2018,Tas,Hazardous wastes,Landfill,Disposal,33886.45892,Core waste,Tasmania
